Sample 	Mineral	Na2O	MgO	Al2O3	SiO2	K2O	CaO	TiO2	MnO	FeO
P74p1	gt	0.06	6.92	19.44	38.4	2.92	0.84	0.07	0.54	26.08
P74p2	gt	0.02	7.83	21.03	37.95	0	0	0.01	0.52	29.28
P74p3	gt	0	7.46	21.23	38.52	0.05	1.47	0.06	0.53	29.71
P74p4	gt	0.02	7.99	21.74	39.06	0	1.18	0.04	0.52	29.52
P74p5	bt	0.16	12.74	17.02	37.29	9.64	0.06	4.94	0.04	13.64
P74p6	bt	0.15	12.89	16.85	37.19	9.84	0.03	5.26	0.02	12.81
P74p7	fd	7.45	0.01	25.73	61.25	0.15	6.8	0	0.04	0.09
P74p11	gt	0.02	8.21	22.6	39.16	0	1.33	0.03	0.54	30.03
P74p12	gt	0	7.85	22.26	39.18	0	1.33	0.04	0.53	30.68
P74p13	bt	0.17	11.25	16.79	36.75	9.48	0	5.27	0.02	15.65
P74p14	bt	0.16	9.99	16.62	36.88	9.69	0.04	6.26	0.05	16.93
P74p15	gt	0	7.64	22.18	39.09	0.04	1.44	0.06	0.54	30.56
P74p16	il	0.01	0.25	0.04	0.07	0	0	52.38	0.73	46.75
P74p17	rt	0.01	0	0.02	0	0	0.01	96.68	0	0.13
P74p18	fd	7.13	0	25.51	59.7	0.33	7.1	0	0.02	0.06
P74p19	gt	0.01	8.3	22.45	38.98	0	1.19	0.01	0.54	29.85
P74p20	bt	0.18	12.56	15.51	37.15	9.48	0.02	4.61	0	16.06
P74p21	gt	0.03	7.82	22.28	38.78	0.03	1.47	0.02	0.63	30.12
P74p22	ch	0	7.33	21.04	36.39	0.01	1.19	0.01	0.49	23.11
P74p23	bt	0.04	12.47	18.81	36.17	9.07	0.02	0.19	0.03	14.79
P74p24	bt	0.11	12.61	17.25	36.67	9.72	0.04	5.17	0.02	13.92
P74p25	fd	7.17	0.01	22.42	53.12	0.22	5.25	0	0	0.05
P74p26	fd	7.29	0.02	24.43	58.12	0.45	6.39	0	0	0.27
P34p28	crd	0.14	8.23	33.28	48.78	0	0	0	0.05	8.22
P34p29	crd	0.18	8.12	33.2	48.72	0	0.02	0	0.02	8.46
P34p30	crd	0.22	8.19	33.09	48.95	0	0	0.01	0.05	8.19
P34p31	crd	0.19	8.05	33.31	48.88	0	0	0	0.04	8.47
P34p32	crd	0.19	8.06	32.9	48.94	0	0.01	0.03	0.04	8.57
P34p34	xx	0.13	3.9	33.8	42.38	1.73	0.6	0	0.02	5.3
P34p35	xx	0.15	3.58	33.59	42.75	1.24	0.93	0	0.03	5.05
P34p36	wm	0.24	2.68	33.19	49.39	8.65	0.09	0.02	0.02	3.64
P34p37	crd	0.22	8.2	33.24	48.83	0	0.03	0.01	0.03	8.08
P34p38	crd	0.18	8.23	33.21	48.57	0	0.01	0	0.05	8.24
P34p39	crd	0.14	8.09	32.78	49.11	0.01	0	0.01	0.05	8.23
P67p40	gt	0.01	8.78	22.96	39.36	0	0.96	0.05	0.33	30.58
P67p41	gt	0.01	8.75	22.92	39.3	0	0.97	0.02	0.29	30.55
P67p42	gt	0.01	7.83	22.81	39.07	0.05	1.32	0.07	0.23	31.28
P67p43	bt	0.15	14.97	16.76	37.83	9.84	0	4.71	0	12.16
P67p44	as	0	0.02	63.67	37.62	0.02	0.01	0.03	0.04	0.3
P67p45	fd	8.59	0.01	24.02	62.96	0.48	4.98	0	0.01	0.03
P67p46	fd	8.46	0.01	23.89	63.12	0.51	4.89	0.01	0.03	0
P67p47	bt	0.17	14.2	16.55	38.2	9.67	0	5.11	0.01	12.34
P67p48	gt	0.01	9.19	22.77	39.49	0	1.02	0.01	0.36	29.82
P67p49	gt	0.06	9.13	22.87	39.63	0	1.22	0.01	0.33	29.07
P67p50	as	0	0	63.56	37.27	0	0	0	0	0.22
P67p51	fd	8.44	0	24.35	62.34	0.41	5.38	0.01	0.01	0.04
P67p52	bt	0.15	14.28	16.64	37.93	9.91	0	5.09	0	12.28
P67p53	as	0	0.01	63.58	37.37	0	0.02	0.01	0.01	0.2
P67p54	gt	0.01	9.17	22.8	39.87	0.01	1.05	0.02	0.33	29.26
P67p55	gt	0.02	9.02	22.84	39.75	0	1.27	0	0.27	29.26
P67p56	fd	8.38	0.01	24.2	62.43	0.31	5.31	0	0.01	0.08
P67p57	gt	0	8.79	23.05	39.18	0	0.99	0.02	0.35	30.44
P67p58	gt	0	8.29	22.79	39.45	0.03	1.36	0.03	0.32	30.59
P67p59	bt	0.1	14.76	16.53	37.94	9.86	0.01	4.96	0.02	12.15
P67p60	fd	8.4	0.01	24.01	62.29	0.35	5.33	0.02	0.01	0.08
P67p61	as	0	0	63.69	37.55	0	0	0.01	0	0.22
P67p62	gt	0	9.22	22.98	39.87	0	1.08	0.05	0.29	29.85
P66p63	bt	0.14	14.08	16.38	38.25	9.88	0.01	5.24	0.03	12.39
P66p64	bt	0.15	13.94	16.28	37.98	9.91	0	5.31	0.04	12.56
P66p65	bt	0.15	14.3	16.36	37.98	9.95	0	5.37	0.04	12.74
P66p66	as	0	0	63.51	37.71	0	0	0	0.01	0.23
P66p67	rt	0	0	0.06	0	0	0.01	98.23	0	0.2
P66p69	fd	1.78	0.01	18.97	65.25	14.08	0.1	0.05	0.02	0
P66p70	gt	0.01	8.23	22.5	39.69	0.03	1.18	0.01	0.46	30.29
P66p71	bt	0.23	13.52	16.12	38.17	9.83	0.03	5.88	0.03	13.31
P66p72	gt	0.02	9.43	22.83	39.83	0	0.95	0.07	0.4	29.04
P66p73	fd	8.08	0	24.72	61.83	0.33	5.95	0.02	0	0.02
P66p74	gt	0.02	9.72	22.54	40.03	0	0.93	0	0.42	28.66
P66p75	gt	0.01	8.99	22.59	39.86	0.01	1.05	0.04	0.51	29.46
P66p76	bt	0.21	15.1	16.64	38.17	9.5	0	4.61	0	11.19
P66p77	fd	0.72	0	18.8	65.49	15.63	0.05	0.01	0	0
P66p78	as	0	0	63.4	37.59	0	0.02	0	0.02	0.24
P66p79	rt	0	0	0.05	0	0.02	0.02	98.49	0.01	0.16
P66p80	il	0.01	0.21	0.14	0.03	0	0.01	52.98	1.05	46.43
