Sample	Mineral	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	K2O
IV19b_P5_am2	am	49.66	0.15	10.09	5.09	0.09	16.37	8.93	3.98	0.23
IV19b_P6_am2	am	49.83	0.23	10.87	5.12	0.05	15.99	8.97	4.5	0.27
IV19b_P9_am1_ky	am	49.93	0.17	10.51	4.57	0	16.3	8.85	3.96	0.2
IV19b_P12_am_ky	am	49.83	0.21	12.09	4.86	0.15	16.27	8.83	4.51	0.16
IV19b_P15_am_14	am	50.18	0.11	10.87	4.79	0	16.75	8.95	4.06	0.36
IV19b_P18_amp2	am	50.09	0.24	11.52	5.05	0.06	16.37	8.9	4.59	0.31
IV19b_P20_am1_ky	am	51	0.16	11.46	5.06	0.08	16.66	8.8	4.57	0.25
IV19b_P21_am2_px?	am	51.15	0.38	12.17	5.06	0.19	16.7	8.79	4.61	0.21
IV19b_P22_am_grt2	am	50.21	0.13	11.28	4.96	0	16.49	8.81	4.14	0.36
IV19b_P25_am1_grt1	am	53.45	0.24	11.44	6.3	0.02	17.34	9.12	4.7	0.26
IV19b_P26_am2	am	50.23	0.17	12.13	5.05	0.06	16.59	8.79	4.73	0.2
IV19b_P27_am_px?	am	50.19	0.3	11.14	4.75	0	16.35	8.79	4.52	0.24
IV19b_P30_am2	am	51.31	0.23	11.62	4.98	0.01	16.72	9.03	4.54	0.16
IV19b_P33_am1_grt1	am	54.5	0.18	8.75	5.4	0	18.05	9.17	4.22	0.14
IV19b_P34_am2	am	50.28	0.18	10.84	4.97	0.11	16.48	8.37	4.27	0.28
iv19bp15	am	51.75	0.24	11.02	4.79	0	16.75	8.26	3.16	0.22
19bC1 P2	am	51.95	0.16	11.44	4.91	0	17.61	8.54	3.4	0.25
19bC1 P3	am	51.92	0.14	11.66	4.97	0.05	17.5	8.5	3.51	0.26
19bC1 P4	am	52.24	0.21	11.76	4.99	0.05	17.58	8.37	3.55	0.25
19bC1 P7	am	52.1	0.16	11.38	4.93	0.01	17.6	8.61	3.47	0.24
19bC3 P5	am	53.65	0.13	10.5	5.15	0.01	16.05	9.13	3.23	0.24
19bC3 P6	am	52.7	0.4	11.48	4.86	0.03	15.57	8.7	3.75	0.26
19bC4 P1	am	52.78	0.52	10.87	4.91	0	16.12	8.79	3.58	0.24
19bC4 P2	am	53.56	0.14	9.8	4.78	0.01	16.57	9.32	3.19	0.22
19bC3/4 P1	am	52	0.25	12.44	5.05	0.04	15.6	8.69	3.88	0.23
IV19 C3 P2	am	55.69	0.1	6.87	6.83	0.06	16.62	9.81	2.63	0.1
IV19 C3 P4	am	57.37	0.03	1.58	9.55	0.21	16.79	12.39	0.56	0.02
IV19 C3 P6	am	55.87	0.06	3.41	8.86	0.22	16.58	11.63	1.25	0.06
