Sample	Mineral	SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	K2O
03_1	chl	26.83	0.035	22.41	24.04	0.1657	15.62	0.018	0.0244	0.0022
03_2	chl	26.46	0.0312	22.07	24.63	0.1387	15.23	0.0348	0	0
03_3	chl	26.79	0.0149	22	24.13	0.1147	15.7	0.0414	0	0.0219
03_4	chl	23.64	8.07	20.33	21.94	0.1023	14.33	0.0158	0	0.0067
03_5	chl	25.77	0.035	23.26	23.78	0.1566	15.64	0.0593	0.0194	0.0299
03_6	chl	27.12	0.0526	20.88	23.7	0.1717	16.08	0.0135	0	0
03_7	chl	27.17	0.0454	21.29	24.66	0.146	15.82	0.0216	0.0153	0.0193
03_8	chl	26.33	0.0109	22.82	24.04	0.1227	15.26	0.0115	0	0.0234
03_9	chl	26.65	0.0328	21.8	24.52	0.1635	15.3	0.0195	0	0
03_10	chl	25.9	0.0334	22.02	24.15	0.1442	15.9	0.0023	0.0012	0.0029
03_11	chl	26.14	0.0407	22.85	24.02	0.1228	15.33	0.0626	0	0.0074
03_12	chl	26.24	0.0202	22.44	24.14	0.1481	15.4	0.0712	0.0269	0.0216
03_13	chl	26.52	0.0391	22.88	23.7	0.1143	15.76	0.0438	0	0.0153
03_14	chl	26.89	0.0343	22.45	24.26	0.1628	15.5	0.0323	0.0193	0.0061
03_15	chl	26.71	0.0302	21.1	24.75	0.1317	15.51	0.0019	0.0127	0.0183
03_16	chl	26.52	0.0158	21.72	23.94	0.1171	15.53	0.0259	0	0.0197
03_17	chl	26.76	0.0131	21.3	24.04	0.1579	15.61	0.0171	0.0175	0.0213
03_18	chl	26.69	0.0282	21.68	24.42	0.1525	15.39	0.0349	0.0298	0.0131
03_19	chl	26.72	0.0312	21.58	24.83	0.1579	15.6	0	0	0.0079
03_20	chl	26.77	0.0265	22.64	24.04	0.1183	15.24	0.0456	0.0414	0.0133
03_21	chl	26.76	0.0196	21.43	24.98	0.1588	15.76	0.032	0.0232	0.0083
03_22	chl	26.59	0.0191	21.91	24.1	0.0999	15.32	0.0092	0	0.0083
94_23	chl	27.98	0.0372	20.72	21.69	0.4126	18.14	0.0194	0	0.0063
94_24	chl	27.03	0.0152	20.76	22.05	0.4033	17.65	0.0209	0	0.0165
94_25	chl	27.67	0.0236	20.61	21.63	0.4258	18.25	0.0033	0	0.0009
94_26	chl	27.96	0.0132	20.17	21.37	0.3664	18.7	0.02	0.0406	0.0023
94_27	chl	27.7	0.0256	20.26	21.65	0.434	18.26	0.0067	0	0.0138
94_28	chl	27.15	0.0172	20.59	21.18	0.4089	18.29	0.0208	0.0129	0.0057
94_29	chl	27.79	0.0166	20.83	21.24	0.3767	18.13	0.0108	0.0025	0.0061
94_30	chl	27.31	0.0217	20.87	22.21	0.3657	17.74	0.0162	0	0
94_31	chl	29.79	0.0279	21.74	19.81	0.3952	16.95	0.0095	0.0256	1.1133
94_32	chl	27.56	0.0136	20.39	21.4	0.4109	18.36	0.0074	0.0356	0.0084
94_33	chl	27.59	0.0224	20.9	21.76	0.3643	18.24	0.0143	0	0.0151
94_34	chl	27.75	0.025	20.62	21.3	0.4378	18.36	0.0221	0.0035	0.0192
94_35	chl	27.75	0.0093	20.83	21.54	0.432	18.39	0.0204	0.0023	0.012
94_36	chl	27.46	0.0208	20.74	21.83	0.3784	18.35	0.0227	0.0021	0
94_37	chl	27.86	0.0348	20.57	21.91	0.4013	18.4	0.0139	0.009	0.0052
94_38	chl	27.04	0.0693	20.52	21.73	0.3969	17.71	0.0235	0	0.0066
94_39	chl	27.93	0.0094	20.92	22.39	0.3921	18.05	0.0075	0.0128	0.005
94_40	chl	27.85	0.0163	20.97	21.79	0.3985	18.12	0.0171	0.0143	0.0176
94_41	chl	27.87	0.0203	20.6	21.9	0.3764	18.48	0.0103	0.0161	0.0066
94_42	chl	28.07	0.0098	21.21	22.66	0.431	18.09	0.0145	0.0003	0.0077
94_43	chl	27.78	0.0057	20.49	21.39	0.3806	18.8	0	0	0
