Sample	Mineral	SiO2	Al2O3	Fe2O3	FeO	MgO	CaO	Na2O	K2O	TiO2	P2O5	MnO	Cr2O3	ZnO	SrO
DHZ62p105n7	cpx	46.61	3.47	0.9	20.18	7.27	17.24	1.04	0.27	1.18	0	1.11	0	0	0
DHZ62p105n8	cpx	49.68	0.78	3.29	18.15	16.19	9.9	0.65	0.15	0.56	0	0.59	0	0	0
DHZ62p105n9	cpx	48.9	3.86	4.65	25.35	6.87	7.96	0.58	0.2	0.12	0	0.51	0	0	0
DHZ62p105n10	cpx	52.84	0.44	1.06	16.89	23.51	4.06	0.19	0	0.22	0	0.56	0	0	0
DHZ62p105n11	cpx	49.72	0.9	1.72	27.77	12.69	3.8	0.23	0.12	0.85	0	0.98	0	0	0
DHZ62p105n12	cpx	51.92	1.85	31.44	0.75	0	0	12.86	0.19	0.77	0	0	0	0	0
DHZ62p105n13	cpx	64.89	26.74	0.57	0.04	0	0	0.05	0.16	0	0	0.01	0	0	0
DHZ62p105n14	cpx	59.38	25.82	0.45	0	0.12	0.13	13.4	0.02	0.04	0	0	0	0	0
DHZ62p141n1	cpx	51.56	0.15	0.21	0.08	0.26	47.73	0.02	0	0	0	0.06	0	0	0
DHZ62p141n2	cpx	50.53	0.67	0.3	0.18	0.61	47.01	0.24	0.12	0	0	0.02	0	0	0
DHZ62p141n3	cpx	50	0	0	9.29	0	38.86	0	0	0	0	1.22	0	0	0
