Sample	Mineral	SiO2	Al2O3	FeO	MgO	CaO	Na2O	K2O	TiO2	P2O5	MnO	Cr2O3	ZnO	SrO
DHZ62p105n1	PX	57.73	0.95	3.948	36.13	0.23	0	0	0.04	0	0.08	0.46	0	0
DHZ62p105n2	PX	50.08	1.23	29.956	15.78	1.44	0.05	0.02	0.64	0	0.85	0	0	0
DHZ62p105n3	PX	45.95	0.9	41.929	3.49	1.43	0	0	0.1	0	5.02	0	0	0
DHZ62p105n4	PX	54.09	1.57	2.136	16.96	21.1	1.37	0.15	0.28	0	0.09	2.03	0	0.01
DHZ62p105n5	PX	48.34	0.3	24.29	1.06	21.3	0.14	0.03	0.08	0	3.7	0	0	0
DHZ62p105n6	PX	52.92	2.8	6.335	16.4	19.97	0.35	0.01	0.5	0	0.15	0.88	0	0
DHZ62p105n7	PX	46.61	3.47	20.99	7.27	17.24	1.04	0.27	1.18	0	1.11	0	0	0
DHZ62p105n8	PX	49.68	0.78	21.111	16.19	9.9	0.65	0.15	0.56	0	0.59	0	0	0
DHZ62p105n9	PX	48.9	3.86	29.535	6.87	7.96	0.58	0.2	0.12	0	0.51	0	0	0
DHZ62p105n10	PX	52.84	0.44	17.844	23.51	4.06	0.19	0	0.22	0	0.56	0	0	0
DHZ62p105n11	PX	49.72	0.9	29.318	12.69	3.8	0.23	0.12	0.85	0	0.98	0	0	0
DHZ62p105n12	PX	51.92	1.85	29.046	0	0	12.86	0.19	0.77	0	0	0	0	0
DHZ62p105n13	PX	64.89	26.74	0.553	0	0	0.05	0.16	0	0	0.01	0	0	0
DHZ62p105n14	PX	59.38	25.82	0.405	0.12	0.13	13.4	0.02	0.04	0	0	0	0	0
DHZ62p141n1	PX	51.56	0.15	0.269	0.26	47.73	0.02	0	0	0	0.06	0	0	0
DHZ62p141n2	PX	50.53	0.67	0.45	0.61	47.01	0.24	0.12	0	0	0.02	0	0	0
DHZ62p141n3	PX	50	0	9.29	0	38.86	0	0	0	0	1.22	0	0	0
