Sample	Mineral	SiO2	Al2O3	Fe2O3	FeO	MgO	CaO	Na2O	K2O	TiO2	P2O5	MnO	Cr2O3	ZnO	SrO
DHZ62p4n1	OL	41.07	0.56	0.65	3.78	54.06	0	0	0	0.05	0	0.23	0	0	0
DHZ62p4n5	OL	30.15	0.07	0.43	65.02	1.05	2.18	0	0	0.2	0	1.01	0	0	0
DHZ62p14n1	ZC	32.51	0.21	0.08	0	0.01	0.22	0	0	0	0	0	0	0	0
DHZ62p19n1	SE	30.44	0	0	0.14	0	27.2	0.37	0	39.66	0	0.05	0	0	0.32
DHZ62p24n1	GT	38.03	22.05	0.88	29.17	6.49	1.8	0	0	0	0	1.57	0	0	0
DHZ62p24n2	GT	37.03	8.92	18.34	2.25	0.83	30.26	0	0	0.04	0	1.09	0	0	0
DHZ62p24n3	GT	38.69	18.17	5.7	3.78	31.76	0.76	0	0	0.55	0	0.64	0	0	0
DHZ62p24n4	GT	41.52	23.01	1.22	12.86	16.64	4.71	0	0	0.01	0	0.33	0.22	0	0
DHZ62p24n5	GT	35.84	20.83	0.65	1.78	2.48	5	0	0	0.03	0	33.37	0	0	0
DHZ62p24n6	GT	35.88	1.13	2.46	0	0.04	33.31	0	0	0	0	0.03	27.04	0	0
DHZ62p43n1	AS	36.7	62.73	0.63	0	0	0	0	0	0	0	0	0	0	0
DHZ62p43n2	AS	36.74	62.7	0.36	0.05	0.03	0.02	0	0.07	0.01	0	0	0	0	0
DHZ62p50n1	ST	27.22	54.16	1.47	12.31	2.34	0	0	0	0.56	0	0.23	0	0	0
DHZ62p50n2	ST	28.64	50.14	0.84	7.18	3.44	0	0	0	0.56	0	0.16	0	7.44	0
DHZ62p65n1	EP	39.16	33.5	1.75	0	0	25.02	0	0	0	0	0.01	0.33	0	0
DHZ62p65n2	EP	39.08	30.96	4.13	0.42	0.01	23.32	0	0	0	0	0.01	0	0	0
DHZ62p65n3	EP	36.92	22.25	15.21	0.57	0	23.11	0	0	0	0	0.75	0	0	0
DHZ62p74n1	ME	42.81	6.59	1.9	3.06	7.48	33.27	3.75	0.33	0.12	0	0.08	0	0	0
DHZ62p74n2	ME	32.6	18.1	0.95	0.92	6.91	40.08	0.18	0.21	0	0	0.02	0	0	0
DHZ62p85n1	CD	49.46	33.58	0.14	2.12	12.06	0.03	0.14	0.3	0.01	0	0.08	0	0	0
DHZ62p85n2	CD	47.69	32.52	0.63	8.04	7.56	0.52	0.53	0.42	0.01	0	0.04	0	0	0
DHZ62p85n3	CD	46.69	32	0.39	12.04	5.91	0.18	0.28	0.16	0.34	0	0.09	0	0	0
