Sample	Mineral	Na2O	MgO	Al2O3	SiO2	K2O	CaO	TiO2	FeO	Fe2O3
kkk	am	2.7253	8.3898	14.0002	25.6813	1.6214	9.233	5.0107	13.8426	0
kkk	am	2.9295	10.6597	14.2391	39.3711	1.6356	9.611	5.4233	13.7456	0
kkk dopo rstd	am	2.9865	10.63	13.5191	38.4174	1.6686	9.6373	5.5444	14.0542	0
diop	px	0.1153	18.0466	1.2497	51.4328	0.0001	25.3568	0.0002	0.215	0
iv19bp1	als	0.0002	0.0102	66.1779	36.8989	0.0001	0.0424	0.0295	0.196	0
iv19bp2	gt	0.0378	8.6676	22.7293	38.8103	0.0001	7.3724	0.0002	20.7207	0
iv19bp2b	gt	0.0737	8.2763	21.606	39.2749	0.0001	6.4323	0.0523	20.3016	0
iv19bp3	als	0.6423	3.1234	52.4581	39.2846	0.059	1.3246	0.0497	1.1495	0
iv19bp4	XX	1.0224	9.4905	20.071	36.1452	0.1053	5.1188	0.1009	11.8883	0
iv19bp5	als	0.1345	0.4161	53.5546	31.7531	0.0155	2.2745	0.0268	0.4384	0
iv19bp5b	als	0.0499	0.0002	62.3625	33.1663	0.0001	0.8336	0.0078	0.2888	0
iv19bp6	ep	0.0375	0.0672	31.7572	32.7295	0.0074	22.4455	0.0332	0	1.375
iv19bp7	am	3.1276	16.7418	10.1973	46.2749	0.2383	8.0989	0.1203	0	5.067
iv19bp8	am	3.4042	16.5937	11.077	48.9661	0.249	7.9762	0.1988	4.6197	0
iv19bp9	am	3.3385	16.2207	10.5975	44.3734	0.2361	7.9885	0.2227	4.6378	0
iv19bp10	px	3.121	15.8412	10.2373	44.3866	0.2109	7.8651	2.7306	4.462	0
iv19bp11	gt	0.0129	7.9848	21.2606	37.8623	0.0001	6.6465	0.0711	20.1681	0
kkk	am	2.8615	10.2662	13.3382	34.3529	1.5728	9.369	5.4171	13.6285	0
kkk	am	2.527	8.9708	11.2452	958.2355	1.6671	9.5145	5.4597	13.5507	0
kkk2	am	2.8965	10.8075	13.5731	43.6674	1.6911	9.7606	5.5285	14.0175	0
iv19bp12	am	2.3845	14.7792	14.4927	61.2372	0.1694	11.9899	0.045	4.0247	0
iv19bp13	grt	0.0003	8.5784	22.5716	41.0327	0.0127	7.4661	0.0111	21.3134	0
iv19bp14	als	0.0015	0.0036	63.6231	43.8616	0.0029	0.2782	0.0002	0.1899	0
iv19bp15	am	3.1639	16.751	11.0157	51.7516	0.2203	8.2593	0.236	4.7859	0
iv19bp16	ep	0.4303	0.3607	31.5055	38.9506	0.0591	20.7214	0.0575	0	1.468
iv19bp17	grt	0.3081	8.3461	23.2672	41.1601	0.0371	6.8472	0.5588	19.9275	0
iv19bp18	am	3.447	17.0007	10.8051	58.765	0.2538	8.3025	0.2115	4.7868	0
iv19bp19	am	0.3215	1.8297	28.1708	43.7309	0.0305	20.8371	0.0535	1.7938	0
IV19_04	wm	3.26	7.45	16.68	48.64	0	12.04	0.31	4.86	0
IV19_05	wm	3.31	8.89	16.56	46.14	0.15	10.17	0.16	7.3	0
19C3 P7	GT	0.01	8.02	22.04	41.17	0.01	8.61	0.04	21.45	0
19bC1 P1	GT	0	10.86	22.94	39.75	0	6.93	0.04	19.98	0
19bC2 P1	GT	0	10.29	22.23	39.6	0	7.2	0.02	20.13	0
19bC2 P2	GT	0	8.59	22.41	39.15	0	7.76	0.03	21.74	0
19bC2 P3	GT	0	7.1	21.6	38.54	0	6.74	0.06	23.4	0
19bC2 P4	GT	0.01	8.19	21.79	38.63	0	7.14	0.04	21.26	0
19bC2 P5	GT	0	8.33	22.17	38.59	0	6.94	0.08	21.63	0
19bC2 P6	GT	0	7.94	22.09	39.01	0	7.09	0.05	22.98	0
19bC2 P7	GT	0	9.19	22.07	39.46	0	7.37	0.05	20.7	0
19bC2 P8	GT	0	9.96	22.23	39.28	0	6.65	0.04	20.43	0
19bC3 P2	GT	0	8.71	21.72	40.68	0	7.35	0.02	20.6	0
19bC3 P7	GT	0	9.2	22.24	40.59	0	7.41	0.03	20.77	0
 ep IV19b	ep	0	0.06	33.41	39.67	0	23.38	0.03	0	1.562
 ep IV19b	ep	0	0.04	32.41	40.25	0	24.01	0.03	0	1.694
 ep IV19b	ep	0	0.06	32.97	40.48	0	24.03	0.04	0	1.419
 ep IV19C	ep	0	0.02	33.81	41.95	0	25	0.01	0	1.826
 ep IV19C	ep	0	0.06	32.94	41.84	0	24.75	0.05	0	2.321
 ep IV19C	ep	0	0.02	32.92	41.22	0	24.98	0.04	0	2.222
