Sample	Mineral	SiO2	P2O5	Pr2O3	SO3	Y2O3	CaO	Nd2O3	PbO	La2O3	Sm2O3	ThO2	Ce2O3	Gd2O3	UO2	SDUO2	SDPbO	SDThO2
P74-c7-1_s 	mnz	0,1044	33,83	3,59	0,0176	1,0496	0,9696	12,16	0,0383	13,88	2,03	4,29	27,81	1,63	0,2605	2,35	8,62	0,2
P74-c7-2_i	mnz	0,7597	32,68	3,86	0,0218	0,2453	0,5893	13,1	0,0388	13,9	1,74	5,54	28,36	1,18	0,0329	10,42	8,18	0,18
P74-c7-3_c	mnz	1,3735	31,11	3,43	0,0195	0	1,82	12,04	0,1483	10,99	1,53	13,83	24,59	0,6246	0,4308	1,38	2,4	0,1
P74-c6-1_i	mnz	0,4759	32,73	3,78	0,0131	0,2365	1,49	11,95	0,0826	12,47	1,86	8,72	26,12	1,2	0,2574	2,21	4,07	0,13
P74-c6-2_i	mnz	0,4003	32,7	3,74	0,0216	0,2796	1,45	11,88	0,083	12,69	1,88	8,13	26,38	1,23	0,2553	2,26	4,16	0,14
P74-c6-3_i	mnz	0,4023	32,81	3,9	0,017	0,2184	1,1128	12,71	0,0577	12,85	1,98	6,5	27,35	1,23	0,1838	3,04	5,81	0,16
P74-c6-4_c	mnz	0,5673	32,22	3,97	0,0164	0,0138	1,1919	13,06	0,0638	12,38	1,65	7,39	27,19	0,7364	0,2468	2,34	5,2	0,15
P74-c11-1_s 	mnz	0,3633	32,72	3,81	0,0115	1,0769	0,9272	11,6	0,0403	14,18	1,86	5,12	27,29	1,31	0,5435	1,23	8,02	0,18
P74-c11-2_i 	mnz	0,6146	32,32	3,96	0,0127	0,0076	1,1947	13,05	0,0649	12,48	1,5	8,02	27,42	0,629	0,2058	2,68	5,07	0,14
P74-c11-3_c 	mnz	0,962	32,04	3,92	0,0152	0,0145	1,65	12,91	0,1026	11,6	1,52	10,31	26,01	0,6972	0,2605	2,16	3,42	0,12
P74-c13-1_s 	mnz	0,2597	33,65	4,11	0,0199	0,0377	0,591	12,66	0,0108	15,29	1,76	2,89	30,34	0,7862	0,1498	3,97	24,75	0,26
P74-c13-2_i 	mnz	0,5293	32,81	3,92	0,0166	0,0326	0,9533	13,02	0,0501	13,65	1,57	6,3	28,43	0,6946	0,1999	2,85	6,55	0,16
P74-c13-3_s 	mnz	0,1427	33,77	3,79	0,0151	0,7341	0,9607	12,14	0,0439	13,98	2,05	4,47	27,97	1,67	0,24	2,53	7,69	0,2
P74-c13-4_i 	mnz	0,3369	33,28	3,73	0,0142	0,7376	0,9655	12,16	0,0507	14,1	1,81	5,28	27,91	1,44	0,1005	5,07	6,63	0,18
P74-c4-1_s	mnz	0,5377	32,98	3,91	0,0091	0	1,1217	12,83	0,0464	13,56	1,55	5,77	28,21	0,6743	0,246	2,41	6,94	0,17
P74-c4-2_s	mnz	0,2203	33,35	3,44	0,0156	2,26	1,41	10,93	0,0873	12,71	1,83	5,95	25,79	1,63	0,7847	0,9	4,14	0,17
P74-c4-3_i	mnz	0,6159	32,64	3,79	0,0185	0,462	1,0625	12,72	0,0474	12,8	1,9	6,77	26,98	1,44	0,0699	6,22	6,74	0,16
P74-c3-1_i	mnz	0,5754	32,94	4,07	0,0131	0	1,048	13,3	0,0685	12,78	1,69	6,84	28,03	0,7343	0,3074	1,98	5,02	0,15
P74-c3-2_s	mnz	0,2027	33,6	4	0,0111	0,1909	0,7603	12,77	0,0312	14,29	2,01	3,58	29,13	1,23	0,2823	2,23	10,46	0,23
P74-c3-3_s	mnz	0,1124	33,78	3,91	0,0149	2,6	0,4042	12,36	0,0268	13,95	1,98	1,26	28,71	1,53	0,4504	1,51	13,59	0,47
P74-c3-4_i	mnz	0,2394	33,45	3,86	0,0136	0,1096	0,8287	12,84	0,0328	14,11	2,04	3,96	28,83	1,2	0,3145	2,01	9,89	0,21
P74-c3-5_c	mnz	0,6907	32,44	3,83	0,0198	0	1,2552	12,91	0,087	12,47	1,72	8,35	27,06	0,7214	0,3957	1,57	3,98	0,14
P55-c6-1_c	mnz	0,1512	34,01	3,71	0,018	1,2108	0,9662	12,42	0,0511	13,1	2,38	3,81	27,31	2,03	0,6128	1,13	6,91	0,22
P55-c6-2_i	mnz	0,1731	34,13	3,69	0,0379	0,8608	1,1335	12,24	0,0561	12,96	2,27	4,85	26,9	2,02	0,4569	1,44	6,2	0,19
P55-c8-1_i/s	mnz	0,2233	33,95	3,81	0,0099	0,4432	1,2405	13,21	0,0552	12,33	2,51	5,51	26,95	1,78	0,4497	1,45	6,18	0,18
P55-c8-2_i/s	mnz	0,1649	33,31	3,57	0,0114	2,48	1,0288	11,21	0,0702	13,44	1,94	4,45	26,77	1,82	0,5845	1,16	5,13	0,2
