Sample	Mineral	PbO	ThO2	UO2	SDPbO2	SDThO2	SDUO2
pyle1	mnz	0.0866	3.72	0.04308	1	2	3
Monazite-std-1 	mnz	0.08	7.5	0.26	1	2	3
Monazite-std-2 	mnz	0	7.38	0.38	1	2	3
Monazite-std-3 	mnz	0.1	7.34	0.28	1	2	3
Monazite-std-4 tutte int 	mnz	0	7.46	0	1	2	3
P55-11-1 	mnz	0	4.23	0.49	1	2	3
P55-11-2 	mnz	0.03	4.43	0.48	1	2	3
P66-7-1 	mnz	0	4.25	0.35	1	2	3
P66-4-1 	mnz	0	4.5	0.56	1	2	3
P66-4-2 	mnz	0.04	3.76	0.49	1	2	3
P66-4-3 	mnz	0.05	4.41	0.3	1	2	3
P66-4-4 	mnz	0.05	4.53	0.21	1	2	3
P55-8-1 	mnz	0.01	4.52	0.63	1	2	3
P55-8-2 	mnz	0.11	4.49	0.57	1	2	3
P55-8-3 	mnz	0.05	6.67	0.3	1	2	3
P55-8-4 	mnz	0.1	3.5	0.42	1	2	3
P55-8-5 	mnz	0.07	4.74	0.44	1	2	3
P55-9-1 	mnz	0.05	3.36	0.41	1	2	3
P55-9-2 	mnz	0.06	4.47	0.68	1	2	3
P55-9-3 	mnz	0	4.01	0.79	1	2	3
P55-9-4 	mnz	0.11	4.04	0.66	1	2	3
P55-9-5 	mnz	0.14	4.69	0.67	1	2	3
P55-9-6 	mnz	0.07	4.12	0.46	1	2	3
P55-11-3 	mnz	0.12	4.29	0.44	1	2	3
P55-11-4 	mnz	0.03	4.65	0.59	1	2	3
P55-11-5 	mnz	0	4.2	0.65	1	2	3
P55-11-6 	mnz	0.02	5.49	0.52	1	2	3
P55-13-1 	mnz	0.05	4.05	0.55	1	2	3
P55-13-2 	mnz	0.06	4.05	0.52	1	2	3
P55-13-3 	mnz	0	2.36	0.67	1	2	3
P55-13-4 	mnz	0.09	3.73	0.42	1	2	3
P55-13-5 	mnz	0.1	3.83	0.41	1	2	3
P55-14-1 	mnz	0.06	4.51	0.5	1	2	3
P55-14-2 	mnz	0.13	4.68	0.49	1	2	3
P55-14-3 	mnz	0.08	4.35	0.37	1	2	3
P55-14-4 	mnz	0.03	4.28	0.33	1	2	3
P55-16-1 	mnz	0.05	4.72	0.49	1	2	3
P55-16-2 	mnz	0.11	4.14	0.65	1	2	3
P55-16-3 	mnz	0.1	4.54	0.69	1	2	3
P55-16-4 	mnz	0.08	4.64	0.53	1	2	3
P55-16-5 	mnz	0.05	3.88	0.32	1	2	3
P55-16-6 	mnz	0.09	3.18	0.62	1	2	3
P66-8-1 	mnz	0.05	3.53	0.15	1	2	3
P66-8-2 	mnz	0.09	4.95	0.14	1	2	3
P66-8-3 	mnz	0.05	0.91	0.39	1	2	3
P66-8-4 	mnz	0.11	4.85	0.06	1	2	3
P66-8-5 	mnz	0.02	5	0.02	1	2	3
P66-12-1 	mnz	0.03	5.17	0.18	1	2	3
P66-12-2 	mnz	0.09	5.22	0.11	1	2	3
P66-12-3 	mnz	0.07	5.12	0.37	1	2	3
P66-12-4 	mnz	0.11	5.06	0.58	1	2	3
P66-12-5 	mnz	0.02	5.74	0.15	1	2	3
P66-12-6 	mnz	0.11	5.26	0.08	1	2	3
P74-2-1 	mnz	0.04	2.71	0.3	1	2	3
P74-2-2 	mnz	0.06	4.23	0.42	1	2	3
P74-2-3 	mnz	0.02	4.63	0.33	1	2	3
P74-2-4 	mnz	0	4.4	0.4	1	2	3
P74-2-5 	mnz	0.07	4.44	0.13	1	2	3
P74-2-6 	mnz	0.15	5.96	0.24	1	2	3
P74-2-7 	mnz	0.06	6.24	0.27	1	2	3
P74-2-8 	mnz	0.03	6.19	0.3	1	2	3
P74-3-1 	mnz	0.09	7.57	0.39	1	2	3
P74-3-2 	mnz	0.14	7.27	0.41	1	2	3
P74-3-3 	mnz	0.08	7.01	0.36	1	2	3
P74-3-4 	mnz	0.05	4.07	0.33	1	2	3
P74-3-5 	mnz	0.02	3.55	0.37	1	2	3
P74-3-6 	mnz	0.07	3.52	0.34	1	2	3
P74-3-7 	mnz	0.05	4.36	0.38	1	2	3
P74-4-1 	mnz	0.15	8.86	0.17	1	2	3
P74-4-2 	mnz	0.1	5.53	0.68	1	2	3
P74-4-3 	mnz	0	8.56	0.69	1	2	3
P74-5-1 	mnz	0.06	5.61	0.29	1	2	3
P74-5-2 	mnz	0.06	5.71	0.14	1	2	3
P74-5-3 	mnz	0.07	5.39	0.22	1	2	3
P74-5-4 	mnz	0.07	6.06	0.26	1	2	3
P74-6-1 	mnz	0.07	7.4	0.39	1	2	3
P74-6-2 	mnz	0	8.19	0.23	1	2	3
P74-6-3 	mnz	0.17	9.14	0.22	1	2	3
P74-6-4 	mnz	0.02	5.72	0.3	1	2	3
P74-7-1 	mnz	0.05	4.4	0.38	1	2	3
P74-7-2 	mnz	0.04	4.13	0.19	1	2	3
P74-7-3 	mnz	0.07	5.61	0.04	1	2	3
P74-7-4 	mnz	0.01	5.11	0.15	1	2	3
P74-7-5 	mnz	0.08	6.22	0.09	1	2	3
P74-11-1 	mnz	0.1	4.79	0.81	1	2	3
P74-11-2 	mnz	0.12	4.83	0.66	1	2	3
P74-11-3 	mnz	0.05	3.21	0.45	1	2	3
P74-11-4 	mnz	0.05	5.17	0.17	1	2	3
P74-13-1 	mnz	0	6.33	0.1	1	2	3
P74-13-2 	mnz	0.03	4.47	0.21	1	2	3
P74-13-3 	mnz	0.07	4.12	0.24	1	2	3
P74-13-4 	mnz	0.06	5.05	0.17	1	2	3
