Sample	Mineral	SiO2	P2O5	Pr2O3	PbO	Y2O3	CaO	Nd2O3	ThO2	La2O3	Sm2O3	UO2	Ce2O3	Gd2O3
P55-11-1 	mnz	0.1808	32.0400	4.3800	0.0000	1.4500	1.0928	10.4900	4.2300	12.4600	2.0700	0.4864	25.4700	1.2100
P55-11-2 	mnz	0.0681	30.7000	4.1800	0.0297	0.3048	1.0291	11.6400	4.4300	12.8400	2.1500	0.4814	26.5500	1.3400
P66-7-1 	mnz	0.1972	31.4800	3.7200	0.0000	0.7494	0.7738	11.8000	4.2500	13.1600	2.1400	0.3536	27.9100	2.0100
P66-4-1 	mnz	0.2322	31.8300	5.1600	0.0000	0.1562	0.9496	11.2700	4.5000	14.4900	2.1700	0.5616	28.7400	1.0734
P66-4-2 	mnz	0.1999	30.9100	4.4400	0.0416	0.1297	0.8474	11.5500	3.7600	13.9000	2.3500	0.4878	28.0700	0.5317
P66-4-3 	mnz	0.2558	31.2200	4.9400	0.0487	0.1647	0.9023	11.6400	4.4100	14.0600	2.2200	0.2956	28.6900	1.2700
P66-4-4 	mnz	0.3099	31.4800	4.8300	0.0508	0.0733	0.9123	11.6400	4.5300	14.7400	1.8800	0.2096	29.4900	0.5055
P55-8-1 	mnz	0.1737	31.4100	3.9200	0.0142	1.3300	1.0771	10.2400	4.5200	13.1200	2.0000	0.6324	26.4800	1.9600
P55-8-2 	mnz	0.1637	32.0000	4.1300	0.1050	1.2700	1.0238	10.6000	4.4900	13.0600	2.0000	0.5677	26.9900	1.5000
P55-8-3 	mnz	0.2198	31.0700	4.0700	0.0521	0.1535	1.5200	12.2300	6.6700	11.5500	2.3100	0.3022	26.0800	1.4500
P55-8-4 	mnz	0.0984	31.1300	4.1800	0.1008	1.4600	0.8255	10.2600	3.5000	13.0800	2.1300	0.4170	26.6500	2.3400
P55-8-5 	mnz	0.2194	31.2000	4.2000	0.0696	0.2420	1.1794	12.5900	4.7400	12.1300	2.7000	0.4377	26.7100	1.4700
P55-9-1 	mnz	17.4400	25.5900	3.2700	0.0481	0.9202	0.8687	9.6200	3.3600	11.5700	1.9000	0.4099	22.8800	1.9900
P55-9-2 	mnz	0.0823	31.5400	4.3100	0.0644	0.3290	1.0978	11.6200	4.4700	12.7000	2.6800	0.6831	27.0300	1.8300
P55-9-3 	mnz	0.2642	31.0200	4.4900	0.0000	0.1440	0.9035	11.1400	4.0100	13.9000	2.2200	0.7864	28.1400	1.2000
P55-9-4 	mnz	0.3805	29.2600	3.9400	0.1101	0.2195	1.0149	9.8500	4.0400	12.6800	1.8700	0.6607	25.6600	1.1050
P55-9-5 	mnz	0.1974	30.7800	4.3900	0.1375	0.2898	1.0357	11.0400	4.6900	13.1300	2.2200	0.6740	27.2200	1.5800
P55-9-6 	mnz	0.1041	30.5300	3.6500	0.0667	1.5500	0.9782	9.6300	4.1200	11.3600	2.1200	0.4600	23.8800	1.6800
P55-11-3 	mnz	0.1104	30.8600	3.9800	0.1161	1.3200	0.9585	10.9300	4.2900	12.9600	1.7700	0.4378	26.5600	1.6200
P55-11-4 	mnz	0.1568	30.5700	4.1800	0.0312	0.2096	1.0971	11.3400	4.6500	12.2500	2.3200	0.5850	27.1400	1.6900
P55-11-5 	mnz	0.1211	32.0000	4.4100	0.0000	0.2665	1.0557	11.4000	4.2000	12.8500	2.3500	0.6519	27.3400	1.4600
P55-11-6 	mnz	0.1377	31.6200	4.2300	0.0244	0.0984	1.3026	11.2200	5.4900	12.5700	2.5200	0.5163	27.4800	1.3900
P55-13-1 	mnz	0.1370	31.6700	4.2400	0.0527	1.1033	0.9474	10.3100	4.0500	13.1900	2.0800	0.5478	26.9100	1.9500
P55-13-2 	mnz	0.1518	32.7100	4.5200	0.0617	0.8213	1.0143	10.7800	4.0500	12.7700	2.2700	0.5201	26.8400	1.6800
P55-13-3 	mnz	0.2182	31.5200	4.2700	0.0000	0.4889	0.6055	10.7100	2.3600	14.0400	2.1500	0.6655	28.6400	1.1700
P55-13-4 	mnz	0.1239	31.6500	4.1200	0.0899	1.4400	0.9151	10.4400	3.7300	12.4400	2.2900	0.4155	26.2100	2.4300
P55-13-5 	mnz	0.1131	31.9200	4.2700	0.1046	1.2304	0.9519	9.9400	3.8300	13.1400	2.0800	0.4090	26.5400	2.1500
P55-14-1 	mnz	0.0751	31.3600	4.5400	0.0648	0.6621	1.1464	11.1600	4.5100	13.0500	2.2100	0.5029	27.5500	1.6400
P55-14-2 	mnz	0.0734	31.5000	4.3100	0.1269	0.5812	1.1092	11.3800	4.6800	12.8900	2.0600	0.4902	27.1700	1.7200
P55-14-3 	mnz	0.1473	31.5600	4.2400	0.0788	0.2159	1.0911	12.2500	4.3500	12.2200	2.6400	0.3721	27.5600	1.8400
P55-14-4 	mnz	0.0910	31.5800	4.2200	0.0320	0.9975	1.0116	10.2900	4.2800	13.0700	2.3400	0.3280	26.3200	2.3700
P55-16-1 	mnz	0.0727	32.2200	4.3600	0.0525	0.8405	1.1052	10.0300	4.7200	13.3800	1.6400	0.4882	27.0100	1.8300
P55-16-2 	mnz	1.2208	27.4300	3.6900	0.1133	0.8692	1.5900	9.4800	4.1400	12.8700	1.6900	0.6464	25.5200	1.0415
P55-16-3 	mnz	0.2544	31.2100	4.4100	0.1006	0.4849	1.0303	11.0200	4.5400	13.4000	2.0500	0.6929	27.6300	1.7300
P55-16-4 	mnz	0.0760	31.8200	4.4000	0.0797	0.6961	1.1543	10.4500	4.6400	13.4700	1.9900	0.5261	27.3900	1.7900
P55-16-5 	mnz	10.6100	27.9400	3.7700	0.0469	0.1203	0.7899	9.4900	3.8800	10.6200	1.9500	0.3159	23.6100	0.8212
P55-16-6 	mnz	1.1581	28.6900	3.8600	0.0874	0.5799	1.0687	10.1100	3.1800	12.3700	1.6100	0.6222	25.3300	1.1203
P66-8-1 	mnz	0.2589	31.5700	5.0200	0.0456	0.1282	0.6304	12.3900	3.5300	13.6100	2.2900	0.1517	29.6200	1.1700
P66-8-2 	mnz	0.3908	30.8200	4.7400	0.0853	0.1378	0.8343	12.8600	4.9500	13.0200	2.2000	0.1392	29.6800	0.8858
P66-8-3 	mnz	0.0512	32.1200	5.0200	0.0545	0.6465	0.2623	12.2500	0.9093	14.3100	2.3200	0.3867	30.0300	1.2300
P66-8-4 	mnz	0.4268	31.1200	5.0000	0.1058	0.1112	0.8048	12.8000	4.8500	13.0900	2.1800	0.0626	29.5400	1.0134
P66-8-5 	mnz	0.4442	31.4400	4.7500	0.0195	0.0322	0.8056	12.6100	5.0000	13.1100	2.0500	0.0188	29.3700	1.2300
P66-12-1 	mnz	0.4981	30.9600	4.8300	0.0291	0.3667	0.7742	11.7200	5.1700	13.7400	2.1300	0.1819	28.5600	0.7302
P66-12-2 	mnz	0.5498	30.2300	4.4700	0.0878	0.2865	0.7617	11.8000	5.2200	13.5800	2.1800	0.1070	28.2000	1.0999
P66-12-3 	mnz	0.4098	31.1900	4.5900	0.0664	1.0456	0.9194	11.7200	5.1200	12.5500	2.2900	0.3692	27.0200	1.4900
P66-12-4 	mnz	0.2617	31.2900	4.6300	0.1098	1.3200	0.9745	11.1000	5.0600	13.4200	2.1600	0.5760	26.7200	1.7400
P66-12-5 	mnz	0.5839	31.4200	4.9900	0.0207	0.1432	0.8085	12.7300	5.7400	13.4600	2.1700	0.1538	29.1100	0.7784
P66-12-6 	mnz	0.3700	31.6300	4.4500	0.1064	1.0232	0.9085	11.7200	5.2600	13.2200	2.0700	0.0816	28.0000	1.0952
P74-2-1 	mnz	0.1057	30.6900	4.4400	0.0355	1.0080	0.7812	10.6400	2.7100	12.9800	2.3000	0.2992	26.5400	1.9200
P74-2-2 	mnz	0.2406	30.6900	4.4300	0.0616	0.0000	0.9257	12.0100	4.2300	12.5900	1.9800	0.4180	27.4600	0.6294
P74-2-3 	mnz	0.3163	31.6500	5.3300	0.0230	0.0000	0.8066	12.7300	4.6300	13.6900	1.9700	0.3285	29.6800	0.5838
P74-2-4 	mnz	0.2462	32.2300	4.6900	0.0000	0.0000	0.9550	12.5600	4.4000	13.5100	1.9800	0.4033	29.3800	0.8513
P74-2-5 	mnz	0.2088	31.4700	4.4400	0.0699	0.3994	0.9742	12.2400	4.4400	13.1800	2.2600	0.1255	28.6100	1.4200
P74-2-6 	mnz	0.3932	31.1800	4.6000	0.1529	0.0000	1.1444	12.7200	5.9600	13.0000	1.9700	0.2393	28.2400	0.7390
P74-2-7 	mnz	0.3730	31.7700	4.5000	0.0587	0.0000	1.1427	12.7200	6.2400	12.8500	1.9600	0.2720	28.4500	0.9378
P74-2-8 	mnz	0.3737	31.3800	4.6000	0.0268	0.0000	1.1380	12.5400	6.1900	13.0200	2.0800	0.3023	28.6300	0.9650
P74-3-1 	mnz	0.7666	30.0600	4.3100	0.0852	0.0831	1.1692	11.8300	7.5700	11.8400	1.6000	0.3887	26.2800	0.4275
P74-3-2 	mnz	0.7218	30.0900	4.4900	0.1404	0.0000	1.1835	12.1000	7.2700	11.8200	1.7200	0.4138	26.7900	0.4000
P74-3-3 	mnz	0.6776	30.0200	4.5800	0.0841	0.0000	1.0856	12.0300	7.0100	11.5100	1.9800	0.3648	26.9600	0.6919
P74-3-4 	mnz	0.1715	30.8500	4.2900	0.0475	0.0062	0.9016	11.7800	4.0700	12.5200	1.9100	0.3292	27.9500	0.9881
P74-3-5 	mnz	0.1558	30.7300	4.3600	0.0220	0.2786	0.7416	11.4700	3.5500	13.0600	2.0600	0.3719	27.5800	1.0545
P74-3-6 	mnz	0.1753	31.4100	4.6300	0.0668	0.0000	0.8203	11.6000	3.5200	13.0900	1.8800	0.3397	28.2800	0.6912
P74-3-7 	mnz	0.3725	31.1000	4.5100	0.0516	0.0000	0.8728	11.9700	4.3600	13.0200	1.9900	0.3845	27.6900	0.5584
P74-4-1 	mnz	0.8619	29.5200	4.2800	0.1516	0.0000	1.5300	12.1000	8.8600	11.8000	1.8500	0.1681	25.7400	0.7376
P74-4-2 	mnz	0.2914	30.7500	3.6900	0.1040	1.4300	1.3143	10.4500	5.5300	11.6400	1.7000	0.6831	24.6600	1.3600
P74-4-3 	mnz	1.6511	33.6600	2.5900	0.0000	0.0000	20.3700	6.8700	8.5600	7.6300	1.0147	0.6907	18.9000	0.5461
P74-5-1 	mnz	0.3478	31.7000	4.6300	0.0590	0.0000	1.1858	12.2300	5.6100	13.7400	2.1400	0.2948	28.5800	0.9212
P74-5-2 	mnz	0.4195	31.4800	4.5900	0.0635	0.2703	1.0848	12.2200	5.7100	13.1300	1.9800	0.1412	28.1700	1.5000
P74-5-3 	mnz	0.2829	31.4300	4.7300	0.0744	0.0699	1.0989	12.0500	5.3900	13.7900	2.0700	0.2210	28.5400	0.5492
P74-5-4 	mnz	1.0962	29.4500	4.0300	0.0650	0.0509	1.3436	11.6900	6.0600	12.0800	1.8600	0.2626	25.8200	0.3393
P74-6-1 	mnz	0.5434	30.1500	4.1800	0.0712	0.0376	1.2855	11.0500	7.4000	11.9300	1.7400	0.3860	25.5800	0.6443
P74-6-2 	mnz	0.6060	29.9300	4.3000	0.0000	0.1264	1.3320	10.8600	8.1900	11.5700	1.8200	0.2308	25.0300	0.8877
P74-6-3 	mnz	0.6379	31.2800	4.2400	0.1650	0.0263	1.5600	11.2400	9.1400	12.3700	1.8300	0.2202	26.5400	1.1800
P74-6-4 	mnz	0.3903	31.6300	4.5100	0.0217	0.0702	1.1691	11.9000	5.7200	13.4200	1.9900	0.3046	28.3100	0.7488
P74-7-1 	mnz	0.1059	31.1500	4.0500	0.0532	0.4102	0.9965	10.9900	4.4000	12.8800	1.7700	0.3785	26.4400	1.2800
P74-7-2 	mnz	0.0969	31.0200	4.1700	0.0365	0.4527	0.9149	10.6900	4.1300	12.8600	1.6700	0.1913	26.3100	1.1800
P74-7-3 	mnz	0.9560	29.1500	4.3400	0.0716	0.1697	0.5370	11.7000	5.6100	12.6200	1.5700	0.0427	26.7800	0.8063
P74-7-4 	mnz	0.3910	30.9200	4.5500	0.0141	0.2103	0.8619	11.7800	5.1100	13.8100	2.1200	0.1473	28.3200	0.8452
P74-7-5 	mnz	0.5353	31.4900	4.8800	0.0794	0.0000	0.9985	12.5800	6.2200	13.0200	1.7500	0.0852	28.9900	0.5996
P74-11-1 	mnz	0.2515	30.9500	4.0900	0.0952	0.5907	1.1053	9.9900	4.7900	12.7100	2.0300	0.8055	26.0400	0.7073
