Sample	Mineral	SiO2	CaO	P2O5	La2O3	PbO	ThO2	UO2	Pr2O3	Y2O3	Nd2O3	Sm2O3	Ce2O3	Gd2O3
UO2 	mnz	0.0335	0	0.0545	0.027	0.0154	0	0	0	0	0	100.66	0.1573	0
PbO 	mnz	0.0588	0	0	98.66	0.0492	0.1216	0	0	0	0.2331	0	0.4051	0
ThO2 	mnz	0	0	0	0.011	0	0	0.3104	100.19	0	0.5562	0	0	0
Monazite-std-1 	mnz	0.3377	31.17	4.92	0.0753	0.0236	1.374	11.69	7.5	12.29	3.12	0.2644	28.04	1.96
Monazite-std-2 	mnz	0.393	31.03	4.31	0	0.1274	1.51	11.78	7.38	12.41	3.42	0.3801	27.92	1.64
Monazite-std-3 	mnz	0.3712	31.41	4.74	0.0962	0.1495	1.48	11.61	7.34	12.4	3.13	0.281	28.09	2.37
Monazite-std-4	mnz	0.3285	31.07	4.6	0	0.1272	1.52	11.77	7.46	12.7	2.26	0	28.39	1.0855
P55-11-1 	mnz	0.1808	32.04	4.38	0	1.45	1.0928	10.49	4.23	12.46	2.07	0.4864	25.47	1.21
P55-11-2 	mnz	0.0681	30.7	4.18	0.0297	0.3048	1.0291	11.64	4.43	12.84	2.15	0.4814	26.55	1.34
P66-7-1 	mnz	0.1972	31.48	3.72	0	0.7494	0.7738	11.8	4.25	13.16	2.14	0.3536	27.91	2.01
P66-4-1 	mnz	0.2322	31.83	5.16	0	0.1562	0.9496	11.27	4.5	14.49	2.17	0.5616	28.74	1.0734
P66-4-2 	mnz	0.1999	30.91	4.44	0.0416	0.1297	0.8474	11.55	3.76	13.9	2.35	0.4878	28.07	0.5317
P66-4-3 	mnz	0.2558	31.22	4.94	0.0487	0.1647	0.9023	11.64	4.41	14.06	2.22	0.2956	28.69	1.27
P66-4-4 	mnz	0.3099	31.48	4.83	0.0508	0.0733	0.9123	11.64	4.53	14.74	1.88	0.2096	29.49	0.5055
P55-8-1 	mnz	0.1737	31.41	3.92	0.0142	1.33	1.0771	10.24	4.52	13.12	2	0.6324	26.48	1.96
P55-8-2 	mnz	0.1637	32	4.13	0.105	1.27	1.0238	10.6	4.49	13.06	2	0.5677	26.99	1.5
P55-8-3 	mnz	0.2198	31.07	4.07	0.0521	0.1535	1.52	12.23	6.67	11.55	2.31	0.3022	26.08	1.45
P55-8-4 	mnz	0.0984	31.13	4.18	0.1008	1.46	0.8255	10.26	3.5	13.08	2.13	0.417	26.65	2.34
P55-8-5 	mnz	0.2194	31.2	4.2	0.0696	0.242	1.1794	12.59	4.74	12.13	2.7	0.4377	26.71	1.47
P55-9-1 	mnz	17.44	25.59	3.27	0.0481	0.9202	0.8687	9.62	3.36	11.57	1.9	0.4099	22.88	1.99
P55-9-2 	mnz	0.0823	31.54	4.31	0.0644	0.329	1.0978	11.62	4.47	12.7	2.68	0.6831	27.03	1.83
P55-9-3 	mnz	0.2642	31.02	4.49	0	0.144	0.9035	11.14	4.01	13.9	2.22	0.7864	28.14	1.2
P55-9-4 	mnz	0.3805	29.26	3.94	0.1101	0.2195	1.0149	9.85	4.04	12.68	1.87	0.6607	25.66	1.105
P55-9-5 	mnz	0.1974	30.78	4.39	0.1375	0.2898	1.0357	11.04	4.69	13.13	2.22	0.674	27.22	1.58
P55-9-6 	mnz	0.1041	30.53	3.65	0.0667	1.55	0.9782	9.63	4.12	11.36	2.12	0.46	23.88	1.68
P55-11-3 	mnz	0.1104	30.86	3.98	0.1161	1.32	0.9585	10.93	4.29	12.96	1.77	0.4378	26.56	1.62
P55-11-4 	mnz	0.1568	30.57	4.18	0.0312	0.2096	1.0971	11.34	4.65	12.25	2.32	0.585	27.14	1.69
P55-11-5 	mnz	0.1211	32	4.41	0	0.2665	1.0557	11.4	4.2	12.85	2.35	0.6519	27.34	1.46
P55-11-6 	mnz	0.1377	31.62	4.23	0.0244	0.0984	1.3026	11.22	5.49	12.57	2.52	0.5163	27.48	1.39
P55-13-1 	mnz	0.137	31.67	4.24	0.0527	1.1033	0.9474	10.31	4.05	13.19	2.08	0.5478	26.91	1.95
P55-13-2 	mnz	0.1518	32.71	4.52	0.0617	0.8213	1.0143	10.78	4.05	12.77	2.27	0.5201	26.84	1.68
P55-13-3 	mnz	0.2182	31.52	4.27	0	0.4889	0.6055	10.71	2.36	14.04	2.15	0.6655	28.64	1.17
P55-13-4 	mnz	0.1239	31.65	4.12	0.0899	1.44	0.9151	10.44	3.73	12.44	2.29	0.4155	26.21	2.43
P55-13-5 	mnz	0.1131	31.92	4.27	0.1046	1.2304	0.9519	9.94	3.83	13.14	2.08	0.409	26.54	2.15
P55-14-1 	mnz	0.0751	31.36	4.54	0.0648	0.6621	1.1464	11.16	4.51	13.05	2.21	0.5029	27.55	1.64
P55-14-2 	mnz	0.0734	31.5	4.31	0.1269	0.5812	1.1092	11.38	4.68	12.89	2.06	0.4902	27.17	1.72
P55-14-3 	mnz	0.1473	31.56	4.24	0.0788	0.2159	1.0911	12.25	4.35	12.22	2.64	0.3721	27.56	1.84
P55-14-4 	mnz	0.091	31.58	4.22	0.032	0.9975	1.0116	10.29	4.28	13.07	2.34	0.328	26.32	2.37
P55-16-1 	mnz	0.0727	32.22	4.36	0.0525	0.8405	1.1052	10.03	4.72	13.38	1.64	0.4882	27.01	1.83
P55-16-2 	mnz	1.2208	27.43	3.69	0.1133	0.8692	1.59	9.48	4.14	12.87	1.69	0.6464	25.52	1.0415
P55-16-3 	mnz	0.2544	31.21	4.41	0.1006	0.4849	1.0303	11.02	4.54	13.4	2.05	0.6929	27.63	1.73
P55-16-4 	mnz	0.076	31.82	4.4	0.0797	0.6961	1.1543	10.45	4.64	13.47	1.99	0.5261	27.39	1.79
P55-16-5 	mnz	10.61	27.94	3.77	0.0469	0.1203	0.7899	9.49	3.88	10.62	1.95	0.3159	23.61	0.8212
P55-16-6 	mnz	1.1581	28.69	3.86	0.0874	0.5799	1.0687	10.11	3.18	12.37	1.61	0.6222	25.33	1.1203
P66-8-1 	mnz	0.2589	31.57	5.02	0.0456	0.1282	0.6304	12.39	3.53	13.61	2.29	0.1517	29.62	1.17
P66-8-2 	mnz	0.3908	30.82	4.74	0.0853	0.1378	0.8343	12.86	4.95	13.02	2.2	0.1392	29.68	0.8858
P66-8-3 	mnz	0.0512	32.12	5.02	0.0545	0.6465	0.2623	12.25	0.9093	14.31	2.32	0.3867	30.03	1.23
P66-8-4 	mnz	0.4268	31.12	5	0.1058	0.1112	0.8048	12.8	4.85	13.09	2.18	0.0626	29.54	1.0134
P66-8-5 	mnz	0.4442	31.44	4.75	0.0195	0.0322	0.8056	12.61	5	13.11	2.05	0.0188	29.37	1.23
P66-12-1 	mnz	0.4981	30.96	4.83	0.0291	0.3667	0.7742	11.72	5.17	13.74	2.13	0.1819	28.56	0.7302
P66-12-2 	mnz	0.5498	30.23	4.47	0.0878	0.2865	0.7617	11.8	5.22	13.58	2.18	0.107	28.2	1.0999
P66-12-3 	mnz	0.4098	31.19	4.59	0.0664	1.0456	0.9194	11.72	5.12	12.55	2.29	0.3692	27.02	1.49
P66-12-4 	mnz	0.2617	31.29	4.63	0.1098	1.32	0.9745	11.1	5.06	13.42	2.16	0.576	26.72	1.74
P66-12-5 	mnz	0.5839	31.42	4.99	0.0207	0.1432	0.8085	12.73	5.74	13.46	2.17	0.1538	29.11	0.7784
P66-12-6 	mnz	0.37	31.63	4.45	0.1064	1.0232	0.9085	11.72	5.26	13.22	2.07	0.0816	28	1.0952
P74-2-1 	mnz	0.1057	30.69	4.44	0.0355	1.008	0.7812	10.64	2.71	12.98	2.3	0.2992	26.54	1.92
P74-2-2 	mnz	0.2406	30.69	4.43	0.0616	0	0.9257	12.01	4.23	12.59	1.98	0.418	27.46	0.6294
P74-2-3 	mnz	0.3163	31.65	5.33	0.023	0	0.8066	12.73	4.63	13.69	1.97	0.3285	29.68	0.5838
P74-2-4 	mnz	0.2462	32.23	4.69	0	0	0.955	12.56	4.4	13.51	1.98	0.4033	29.38	0.8513
P74-2-5 	mnz	0.2088	31.47	4.44	0.0699	0.3994	0.9742	12.24	4.44	13.18	2.26	0.1255	28.61	1.42
P74-2-6 	mnz	0.3932	31.18	4.6	0.1529	0	1.1444	12.72	5.96	13	1.97	0.2393	28.24	0.739
P74-2-7 	mnz	0.373	31.77	4.5	0.0587	0	1.1427	12.72	6.24	12.85	1.96	0.272	28.45	0.9378
P74-2-8 	mnz	0.3737	31.38	4.6	0.0268	0	1.138	12.54	6.19	13.02	2.08	0.3023	28.63	0.965
P74-3-1 	mnz	0.7666	30.06	4.31	0.0852	0.0831	1.1692	11.83	7.57	11.84	1.6	0.3887	26.28	0.4275
P74-3-2 	mnz	0.7218	30.09	4.49	0.1404	0	1.1835	12.1	7.27	11.82	1.72	0.4138	26.79	0.4
P74-3-3 	mnz	0.6776	30.02	4.58	0.0841	0	1.0856	12.03	7.01	11.51	1.98	0.3648	26.96	0.6919
P74-3-4 	mnz	0.1715	30.85	4.29	0.0475	0.0062	0.9016	11.78	4.07	12.52	1.91	0.3292	27.95	0.9881
P74-3-5 	mnz	0.1558	30.73	4.36	0.022	0.2786	0.7416	11.47	3.55	13.06	2.06	0.3719	27.58	1.0545
P74-3-6 	mnz	0.1753	31.41	4.63	0.0668	0	0.8203	11.6	3.52	13.09	1.88	0.3397	28.28	0.6912
P74-3-7 	mnz	0.3725	31.1	4.51	0.0516	0	0.8728	11.97	4.36	13.02	1.99	0.3845	27.69	0.5584
P74-4-1 	mnz	0.8619	29.52	4.28	0.1516	0	1.53	12.1	8.86	11.8	1.85	0.1681	25.74	0.7376
P74-4-2 	mnz	0.2914	30.75	3.69	0.104	1.43	1.3143	10.45	5.53	11.64	1.7	0.6831	24.66	1.36
P74-4-3 	mnz	1.6511	33.66	2.59	0	0	20.37	6.87	8.56	7.63	1.0147	0.6907	18.9	0.5461
P74-5-1 	mnz	0.3478	31.7	4.63	0.059	0	1.1858	12.23	5.61	13.74	2.14	0.2948	28.58	0.9212
P74-5-2 	mnz	0.4195	31.48	4.59	0.0635	0.2703	1.0848	12.22	5.71	13.13	1.98	0.1412	28.17	1.5
P74-5-3 	mnz	0.2829	31.43	4.73	0.0744	0.0699	1.0989	12.05	5.39	13.79	2.07	0.221	28.54	0.5492
P74-5-4 	mnz	1.0962	29.45	4.03	0.065	0.0509	1.3436	11.69	6.06	12.08	1.86	0.2626	25.82	0.3393
P74-6-1 	mnz	0.5434	30.15	4.18	0.0712	0.0376	1.2855	11.05	7.4	11.93	1.74	0.386	25.58	0.6443
P74-6-2 	mnz	0.606	29.93	4.3	0	0.1264	1.332	10.86	8.19	11.57	1.82	0.2308	25.03	0.8877
P74-6-3 	mnz	0.6379	31.28	4.24	0.165	0.0263	1.56	11.24	9.14	12.37	1.83	0.2202	26.54	1.18
P74-6-4 	mnz	0.3903	31.63	4.51	0.0217	0.0702	1.1691	11.9	5.72	13.42	1.99	0.3046	28.31	0.7488
P74-7-1 	mnz	0.1059	31.15	4.05	0.0532	0.4102	0.9965	10.99	4.4	12.88	1.77	0.3785	26.44	1.28
P74-7-2 	mnz	0.0969	31.02	4.17	0.0365	0.4527	0.9149	10.69	4.13	12.86	1.67	0.1913	26.31	1.18
P74-7-3 	mnz	0.956	29.15	4.34	0.0716	0.1697	0.537	11.7	5.61	12.62	1.57	0.0427	26.78	0.8063
P74-7-4 	mnz	0.391	30.92	4.55	0.0141	0.2103	0.8619	11.78	5.11	13.81	2.12	0.1473	28.32	0.8452
P74-7-5 	mnz	0.5353	31.49	4.88	0.0794	0	0.9985	12.58	6.22	13.02	1.75	0.0852	28.99	0.5996
P74-11-1 	mnz	0.2515	30.95	4.09	0.0952	0.5907	1.1053	9.99	4.79	12.71	2.03	0.8055	26.04	0.7073
P74-11-2 	mnz	0.2566	30.37	4.23	0.1249	0.6026	1.0991	9.87	4.83	13.05	1.95	0.6572	25.89	0.9843
P74-11-3 	mnz	0.228	30.8	4.29	0.0451	0.3729	0.693	10.64	3.21	13.71	2.11	0.4468	27.15	0.7917
P74-11-4 	mnz	0.4465	31.12	4.64	0.046	0	0.9807	12.31	5.17	13.52	1.75	0.1711	29.64	0.4263
P74-13-1 	mnz	0.5853	30.14	4.13	0.0001	0.0246	0.989	11.21	6.33	12.35	1.63	0.0962	27.05	0.6118
P74-13-2 	mnz	0.139	31.43	3.89	0.0291	0.3907	0.9985	11.02	4.47	12.76	2.28	0.2099	26.4	1.37
P74-13-3 	mnz	0.1127	31.53	4.35	0.0699	0.3878	0.9561	10.98	4.12	13.05	2.16	0.2363	27.11	1.2
P74-13-4 	mnz	0.3179	31.7	4.37	0.0621	0.3949	0.9345	11.6	5.05	13.8	2.12	0.167	28.42	1.49
